Date,Price,Open,High,Low,Change %
2019-02-17,"1,321.41","1,312.64","1,322.76","1,311.17",0.68%
2019-02-18,"1,326.90","1,321.41","1,328.05","1,320.60",0.42%
2019-02-19,"1,341.17","1,326.25","1,342.11","1,322.63",1.08%
2019-02-20,"1,338.49","1,341.24","1,347.11","1,336.79",-0.20%
2019-02-21,"1,323.49","1,338.59","1,341.71","1,321.99",-1.12%
2019-02-22,"1,327.80","1,323.51","1,333.41","1,321.39",0.32%
2019-02-23,"1,327.80","1,323.51","1,333.41","1,321.39",0.32%
2019-02-24,"1,327.80","1,323.51","1,333.41","1,321.39",0.32%
2019-02-25,"1,327.13","1,328.89","1,332.80","1,325.15",-0.05%
2019-02-26,"1,328.96","1,327.11","1,330.40","1,323.44",0.14%
2019-02-27,"1,319.88","1,328.92","1,329.96","1,316.78",-0.68%
2019-02-28,"1,313.05","1,319.87","1,327.44","1,312.41",-0.52%
2019-03-01,"1,293.56","1,312.94","1,315.46","1,290.24",-1.48%
2019-03-02,"1,293.56","1,312.94","1,315.46","1,290.24",-1.48%
2019-03-03,"1,293.56","1,312.94","1,315.46","1,290.24",-1.48%
2019-03-04,"1,286.67","1,293.61","1,297.35","1,282.88",-0.53%
2019-03-05,"1,287.43","1,286.67","1,289.92","1,281.10",0.06%
2019-03-06,"1,286.76","1,287.48","1,291.11","1,283.51",-0.05%
2019-03-07,"1,285.74","1,286.71","1,289.10","1,281.27",-0.08%
2019-03-08,"1,298.40","1,285.78","1,300.85","1,285.18",0.98%
2019-03-09,"1,298.40","1,285.78","1,300.85","1,285.18",0.98%
2019-03-10,"1,298.40","1,285.78","1,300.85","1,285.18",0.98%
2019-03-11,"1,294.25","1,298.85","1,299.44","1,290.34",-0.32%
2019-03-12,"1,302.01","1,293.84","1,302.40","1,292.08",0.60%
2019-03-13,"1,309.28","1,302.16","1,311.56","1,300.61",0.56%
2019-03-14,"1,296.28","1,309.76","1,310.53","1,292.83",-0.99%
2019-03-15,"1,301.38","1,296.15","1,306.79","1,293.82",0.39%
2019-03-16,"1,301.38","1,296.15","1,306.79","1,293.82",0.39%
2019-03-17,"1,301.38","1,296.15","1,306.79","1,293.82",0.39%
2019-03-18,"1,303.70","1,302.34","1,306.89","1,298.19",0.18%
2019-03-19,"1,306.55","1,303.60","1,311.19","1,302.50",0.22%
2019-03-20,"1,312.48","1,305.74","1,317.03","1,298.58",0.45%
2019-03-21,"1,309.45","1,313.05","1,320.62","1,303.40",-0.23%
2019-03-22,"1,313.13","1,309.55","1,315.20","1,306.81",0.28%
2019-03-23,"1,313.13","1,309.55","1,315.20","1,306.81",0.28%
2019-03-24,"1,313.13","1,309.55","1,315.20","1,306.81",0.28%
2019-03-25,"1,321.80","1,313.35","1,324.57","1,310.97",0.66%
2019-03-26,"1,315.42","1,321.80","1,323.41","1,312.69",-0.48%
2019-03-27,"1,309.46","1,315.61","1,319.60","1,308.03",-0.45%
2019-03-28,"1,290.15","1,309.85","1,312.48","1,288.58",-1.47%
2019-03-29,"1,291.90","1,290.59","1,300.01","1,286.77",0.14%
2019-03-30,"1,291.90","1,290.59","1,300.01","1,286.77",0.14%
2019-03-31,"1,291.90","1,290.59","1,300.01","1,286.77",0.14%
2019-04-01,"1,287.42","1,291.48","1,297.23","1,286.64",-0.35%
2019-04-02,"1,292.75","1,287.55","1,293.15","1,285.17",0.41%
2019-04-03,"1,289.66","1,292.34","1,294.81","1,288.34",-0.24%
2019-04-04,"1,292.13","1,290.10","1,294.55","1,280.91",0.19%
2019-04-05,"1,291.30","1,292.44","1,293.69","1,284.44",-0.06%
2019-04-06,"1,291.30","1,292.44","1,293.69","1,284.44",-0.06%
2019-04-07,"1,291.30","1,292.44","1,293.69","1,284.44",-0.06%
2019-04-08,"1,297.17","1,291.80","1,303.97","1,291.39",0.45%
2019-04-09,"1,303.89","1,297.65","1,306.50","1,296.57",0.52%
2019-04-10,"1,307.80","1,304.09","1,310.96","1,301.06",0.30%
2019-04-11,"1,292.34","1,308.10","1,309.37","1,289.66",-1.18%
2019-04-12,"1,290.00","1,292.30","1,296.10","1,290.09",-0.18%
2019-04-13,"1,290.00","1,292.30","1,296.10","1,290.09",-0.18%
2019-04-14,"1,290.00","1,292.30","1,296.10","1,290.09",-0.18%
2019-04-15,"1,287.64","1,290.60","1,292.08","1,282.37",-0.18%
2019-04-16,"1,276.17","1,287.90","1,288.85","1,272.94",-0.89%
2019-04-17,"1,273.74","1,276.84","1,280.01","1,272.94",-0.19%
2019-04-18,"1,275.01","1,273.49","1,277.97","1,271.07",0.10%
2019-04-19,"1,275.01","1,273.49","1,277.97","1,271.07",0.10%
2019-04-20,"1,275.01","1,273.49","1,277.97","1,271.07",0.10%
2019-04-21,"1,275.01","1,273.49","1,277.97","1,271.07",0.10%
2019-04-22,"1,274.68","1,275.83","1,280.14","1,273.66",-0.03%
2019-04-23,"1,272.15","1,275.40","1,276.83","1,266.25",-0.20%
2019-04-24,"1,274.96","1,272.30","1,278.79","1,268.58",0.22%
2019-04-25,"1,276.95","1,275.60","1,282.81","1,273.35",0.16%
2019-04-26,"1,285.85","1,277.27","1,289.01","1,276.05",0.70%
2019-04-27,"1,285.85","1,277.27","1,289.01","1,276.05",0.70%
2019-04-28,"1,285.85","1,277.27","1,289.01","1,276.05",0.70%
2019-04-29,"1,279.55","1,286.55","1,287.00","1,277.97",-0.49%
2019-04-30,"1,283.35","1,279.98","1,286.58","1,279.69",0.30%
2019-05-01,"1,276.35","1,283.59","1,287.38","1,273.16",-0.55%
2019-05-02,"1,270.29","1,276.94","1,278.18","1,266.18",-0.48%
2019-05-03,"1,278.94","1,270.74","1,282.84","1,268.90",0.68%
2019-05-04,"1,278.94","1,270.74","1,282.84","1,268.90",0.68%
2019-05-05,"1,278.94","1,270.74","1,282.84","1,268.90",0.68%
2019-05-06,"1,280.07","1,281.19","1,285.90","1,276.85",0.09%
2019-05-07,"1,284.30","1,281.10","1,286.37","1,278.04",0.33%
2019-05-08,"1,280.53","1,284.15","1,291.73","1,279.37",-0.29%
2019-05-09,"1,283.74","1,280.74","1,288.57","1,279.43",0.25%
2019-05-10,"1,285.60","1,284.34","1,289.60","1,283.10",0.14%
2019-05-11,"1,285.60","1,284.34","1,289.60","1,283.10",0.14%
2019-05-12,"1,285.60","1,284.34","1,289.60","1,283.10",0.14%
2019-05-13,"1,299.66","1,286.71","1,301.50","1,281.77",1.09%
2019-05-14,"1,296.78","1,300.24","1,303.47","1,293.52",-0.22%
2019-05-15,"1,296.42","1,297.17","1,301.18","1,292.85",-0.03%
2019-05-16,"1,286.40","1,296.90","1,299.06","1,284.06",-0.77%
2019-05-17,"1,277.15","1,286.50","1,289.24","1,274.91",-0.72%
2019-05-18,"1,277.15","1,286.50","1,289.24","1,274.91",-0.72%
2019-05-19,"1,277.15","1,286.50","1,289.24","1,274.91",-0.72%
