Date,Price,Open,High,Low,Vol.,Change %
2020-03-03,"12,290.00","12,290.00","12,290.00","12,290.00",-,-2.38%
2020-03-04,"12,290.00","12,290.00","12,290.00","12,290.00",-,0.00%
2020-03-05,"12,190.00","12,190.00","12,190.00","12,190.00",-,-0.81%
2020-03-06,"12,190.00","12,190.00","12,190.00","12,190.00",-,0.00%
2020-03-07,"12,190.00","12,190.00","12,190.00","12,190.00",-,0.00%
2020-03-08,"12,190.00","12,190.00","12,190.00","12,190.00",-,0.00%
2020-03-09,"13,290.00","13,290.00","13,290.00","13,290.00",-,9.02%
2020-03-10,"13,790.00","13,790.00","13,790.00","13,790.00",-,3.76%
2020-03-11,"13,790.00","13,790.00","13,790.00","13,790.00",-,0.00%
2020-03-12,"13,790.00","13,790.00","13,790.00","13,790.00",-,0.00%
2020-03-13,"13,190.00","13,190.00","13,190.00","13,190.00",-,-4.35%
2020-03-14,"13,190.00","13,190.00","13,190.00","13,190.00",-,-4.35%
2020-03-15,"13,190.00","13,190.00","13,190.00","13,190.00",-,-4.35%
2020-03-16,"12,390.00","12,390.00","12,390.00","12,390.00",-,-6.07%
2020-03-17,"10,740.00","10,740.00","10,740.00","10,740.00",-,-13.32%
2020-03-18,"8,990.00","8,990.00","8,990.00","8,990.00",-,-16.29%
2020-03-19,"6,990.00","6,990.00","6,990.00","6,990.00",-,-22.25%
2020-03-20,"6,490.00","6,490.00","6,490.00","6,490.00",-,-7.15%
2020-03-21,"6,490.00","6,490.00","6,490.00","6,490.00",-,-7.15%
2020-03-22,"6,490.00","6,490.00","6,490.00","6,490.00",-,-7.15%
2020-03-23,"5,990.00","5,990.00","5,990.00","5,990.00",-,-7.70%
2020-03-24,"5,490.00","5,490.00","5,490.00","5,490.00",-,-8.35%
2020-03-25,"6,690.00","6,690.00","6,690.00","6,690.00",-,21.86%
2020-03-26,"8,490.00","8,490.00","8,490.00","8,490.00",-,26.91%
2020-03-27,"10,490.00","10,490.00","10,490.00","10,490.00",-,23.56%
2020-03-28,"10,490.00","10,490.00","10,490.00","10,490.00",-,23.56%
2020-03-29,"10,490.00","10,490.00","10,490.00","10,490.00",-,23.56%
2020-03-30,"10,690.00","10,690.00","10,690.00","10,690.00",-,1.91%
2020-03-31,"10,690.00","10,690.00","10,690.00","10,690.00",-,0.00%
2020-04-01,"10,690.00","10,690.00","10,690.00","10,690.00",-,0.00%
2020-04-02,"10,190.00","10,190.00","10,190.00","10,190.00",-,-4.68%
2020-04-03,"9,890.00","9,890.00","9,890.00","9,890.00",-,-2.94%
2020-04-04,"9,890.00","9,890.00","9,890.00","9,890.00",-,-2.94%
2020-04-05,"9,890.00","9,890.00","9,890.00","9,890.00",-,-2.94%
2020-04-06,"8,890.00","8,890.00","8,890.00","8,890.00",-,-10.11%
2020-04-07,"8,290.00","8,290.00","8,290.00","8,290.00",-,-6.75%
2020-04-08,"7,690.00","7,690.00","7,690.00","7,690.00",-,-7.24%
2020-04-09,"7,190.00","7,190.00","7,190.00","7,190.00",-,-6.50%
2020-04-10,"7,190.00","7,190.00","7,190.00","7,190.00",-,-6.50%
2020-04-11,"7,190.00","7,190.00","7,190.00","7,190.00",-,-6.50%
2020-04-12,"7,190.00","7,190.00","7,190.00","7,190.00",-,-6.50%
2020-04-13,"7,190.00","7,190.00","7,190.00","7,190.00",-,-6.50%
2020-04-14,"7,190.00","7,190.00","7,190.00","7,190.00",-,0.00%
2020-04-15,"7,990.00","7,990.00","7,990.00","7,990.00",-,11.13%
2020-04-16,"9,390.00","9,390.00","9,390.00","9,390.00",-,17.52%
2020-04-17,"9,390.00","9,390.00","9,390.00","9,390.00",-,0.00%
2020-04-18,"9,390.00","9,390.00","9,390.00","9,390.00",-,0.00%
2020-04-19,"9,390.00","9,390.00","9,390.00","9,390.00",-,0.00%
2020-04-20,"9,390.00","9,390.00","9,390.00","9,390.00",-,0.00%
2020-04-21,"9,190.00","9,190.00","9,190.00","9,190.00",-,-2.13%
2020-04-22,"8,090.00","8,090.00","8,090.00","8,090.00",-,-11.97%
2020-04-23,"8,190.00","8,190.00","8,190.00","8,190.00",-,1.24%
2020-04-24,"8,190.00","8,190.00","8,190.00","8,190.00",-,0.00%
