Date,Volume
2016-08-16,58405200
2016-08-17,54443000
2016-08-18,59896600
2016-08-19,50631600
2016-08-20,45301400
2016-08-21,38299400
2016-08-22,72844000
2016-08-23,85349200
2016-08-24,56328200
2016-08-25,136130000
2016-08-26,48856800
2016-08-27,59698300
2016-08-28,86301600
2016-08-29,110398000
2016-08-30,70342400
2016-08-31,75840896
2016-09-01,76923400
2016-09-02,79910800
2016-09-03,159014000
2016-09-04,97942896
2016-09-05,82446800
2016-09-06,78529104
2016-09-07,75032400
2016-09-08,86713000
2016-09-09,64550200
2016-09-10,45016800
2016-09-11,73610800
2016-09-12,72812304
2016-09-13,86920600
2016-09-14,47877700
2016-09-15,59464600
2016-09-16,64963400
2016-09-17,37140300
2016-09-18,48679400
2016-09-19,54796400
2016-09-20,72710896
2016-09-21,82776200
2016-09-22,67085300
2016-09-23,51067000
2016-09-24,35359500
2016-09-25,33977800
2016-09-26,59153800
2016-09-27,49422400
2016-09-28,48722600
2016-09-29,55658600
2016-09-30,56122400
2016-10-01,56357000
2016-10-02,39249800
2016-10-03,46798300
2016-10-04,49801600
2016-10-05,68077504
2016-10-06,56812100
2016-10-07,64071400
2016-10-08,42345900
2016-10-09,39243400
2016-10-10,67481104
2016-10-11,103590000
2016-10-12,92370200
2016-10-13,61620700
2016-10-14,58144600
2016-10-15,39035400
2016-10-16,40298100
2016-10-17,58063600
2016-10-18,65546700
2016-10-19,69381696
2016-10-20,56957300
2016-10-21,55951000
2016-10-22,78556496
2016-10-23,54474600
2016-10-24,62218200
2016-10-25,90378800
2016-10-26,88877104
2016-10-27,96105296
2016-10-28,81145504
2016-10-29,134760992
2016-10-30,100665000
2016-10-31,97064400
2016-11-01,130527000
2016-11-02,84865200
2016-11-03,172808000
2016-11-04,99907696
2016-11-05,53752300
2016-11-06,59902200
2016-11-07,65047100
2016-11-08,79660800
2016-11-09,132429000
2016-11-10,68807800
2016-11-11,63119700
2016-11-12,64622500
2016-11-13,80318096
2016-11-14,62993000
2016-11-15,72038496
2016-11-16,141294000
2016-11-17,108579000
2016-11-18,87363104
2016-11-19,110608000
2016-11-20,154116000
2016-11-21,60802400
2016-11-22,129906000
2016-11-23,76543800
2016-11-24,85919296
2016-11-25,67807600
