,Date,Open,High,Low,Close,Adj Close,Volume
716,2017-02-05,18996.740234,19061.259766,18830.890625,18918.199219,18918.199219,140900000.0
717,2017-02-06,19069.720703,19075.570313,18899.400391,18976.710938,18976.710938,120500000.0
718,2017-02-07,18844.119141,18970.580078,18805.320313,18910.779297,18910.779297,106100000.0
719,2017-02-08,18951.160156,19009.240234,18875.570313,19007.599609,19007.599609,102900000.0
720,2017-02-09,18942.039063,18991.230469,18874.910156,18907.669922,18907.669922,130500000.0
721,2017-02-10,19216.740234,19395.990234,19193.570313,19378.929688,19378.929688,149400000.0
722,2017-02-11,19216.740234,19395.990234,19193.570313,19378.929688,19378.929688,149400000.0
723,2017-02-12,19216.740234,19395.990234,19193.570313,19378.929688,19378.929688,149400000.0
724,2017-02-13,19513.779297,19519.439453,19418.179688,19459.150391,19459.150391,117900000.0
725,2017-02-14,19478.859375,19501.009766,19232.849609,19238.980469,19238.980469,142800000.0
726,2017-02-15,19438.810547,19495.619141,19420.0,19437.980469,19437.980469,142800000.0
727,2017-02-16,19431.609375,19431.609375,19260.240234,19347.529297,19347.529297,137800000.0
728,2017-02-17,19228.740234,19275.390625,19173.529297,19234.619141,19234.619141,143600000.0
729,2017-02-18,19228.740234,19275.390625,19173.529297,19234.619141,19234.619141,143600000.0
730,2017-02-19,19228.740234,19275.390625,19173.529297,19234.619141,19234.619141,143600000.0
731,2017-02-20,19161.330078,19274.75,19115.109375,19251.080078,19251.080078,98900000.0
732,2017-02-21,19267.869141,19395.349609,19261.980469,19381.439453,19381.439453,100700000.0
733,2017-02-22,19419.220703,19419.220703,19329.279297,19379.869141,19379.869141,156700000.0
734,2017-02-23,19379.919922,19379.919922,19262.630859,19371.460938,19371.460938,140800000.0
735,2017-02-24,19232.109375,19381.099609,19219.580078,19283.539063,19283.539063,148900000.0
736,2017-02-25,19232.109375,19381.099609,19219.580078,19283.539063,19283.539063,148900000.0
737,2017-02-26,19232.109375,19381.099609,19219.580078,19283.539063,19283.539063,148900000.0
738,2017-02-27,19130.509766,19178.990234,18995.550781,19107.470703,19107.470703,124200000.0
739,2017-02-28,19194.679688,19267.990234,19118.990234,19118.990234,19118.990234,132900000.0
740,2017-03-01,19226.939453,19414.550781,19164.619141,19393.539063,19393.539063,132300000.0
741,2017-03-02,19624.820313,19668.009766,19564.800781,19564.800781,19564.800781,146200000.0
742,2017-03-03,19551.339844,19587.789063,19392.75,19469.169922,19469.169922,111000000.0
743,2017-03-04,19551.339844,19587.789063,19392.75,19469.169922,19469.169922,111000000.0
744,2017-03-05,19551.339844,19587.789063,19392.75,19469.169922,19469.169922,111000000.0
745,2017-03-06,19409.179688,19411.539063,19340.320313,19379.140625,19379.140625,88000000.0
746,2017-03-07,19337.189453,19375.089844,19317.099609,19344.150391,19344.150391,98800000.0
